,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
4062,BRK,40,2017-01-15,Home,HOU,L,112,137,41,93,0.441,15,44,0.341,15,19,0.789,9,38,29,9,5,16,25,46,92,0.5,21,44,0.477,24,32,0.75,13,52,30,9,3,13,21
41101,BRK,41,2017-01-17,Home,TOR,L,109,119,40,89,0.449,7,26,0.269,22,24,0.917,11,41,20,7,6,13,19,48,92,0.522,10,19,0.526,13,16,0.813,10,44,18,8,6,9,19
4264,BRK,42,2017-01-20,Away,NOP,W,143,114,48,83,0.578,15,30,0.5,32,35,0.914,9,52,24,5,6,16,20,43,105,0.41,11,34,0.324,17,23,0.739,18,47,21,8,8,9,24
4362,BRK,43,2017-01-21,Away,CHO,L,105,112,38,88,0.432,17,41,0.415,12,15,0.8,4,40,30,9,3,12,17,39,82,0.476,14,30,0.467,20,22,0.909,6,46,26,7,4,13,18
4462,BRK,44,2017-01-23,Home,SAS,L,86,112,32,81,0.395,5,25,0.2,17,18,0.944,5,38,14,2,5,16,18,45,95,0.474,9,22,0.409,13,16,0.813,13,50,22,7,5,8,17
4562,BRK,45,2017-01-25,Home,MIA,L,106,109,35,80,0.438,13,35,0.371,23,26,0.885,4,33,20,3,4,15,25,40,83,0.482,11,23,0.478,18,25,0.72,6,40,23,7,6,10,25
4662,BRK,46,2017-01-27,Away,CLE,L,116,124,43,87,0.494,16,33,0.485,14,16,0.875,4,37,23,9,2,10,15,49,92,0.533,13,36,0.361,13,20,0.65,9,47,26,4,5,14,14
4762,BRK,47,2017-01-28,Away,MIN,L,109,129,41,85,0.482,7,21,0.333,20,25,0.8,5,40,20,6,6,14,18,47,93,0.505,9,20,0.45,26,32,0.813,13,49,27,8,8,11,21
4862,BRK,48,2017-01-30,Away,MIA,L,96,104,37,87,0.425,4,26,0.154,18,22,0.818,15,53,16,7,4,16,23,39,82,0.476,11,26,0.423,15,23,0.652,5,34,22,9,8,11,18
4962,BRK,49,2017-02-01,Home,NYK,L,90,95,37,88,0.42,5,25,0.2,11,16,0.688,12,49,17,4,7,20,24,35,99,0.354,6,27,0.222,19,31,0.613,21,58,23,16,7,13,18
5062,BRK,50,2017-02-03,Home,IND,L,97,106,32,86,0.372,11,28,0.393,22,23,0.957,9,44,20,7,4,19,22,37,86,0.43,8,20,0.4,24,31,0.774,12,49,20,11,10,14,19
51101,BRK,51,2017-02-05,Home,TOR,L,95,103,32,76,0.421,13,34,0.382,18,21,0.857,7,42,19,8,7,21,19,40,87,0.46,5,19,0.263,18,20,0.9,8,45,21,8,4,11,18
5264,BRK,52,2017-02-07,Away,CHO,L,107,111,39,86,0.453,12,36,0.333,17,21,0.81,4,45,26,3,8,15,23,40,102,0.392,7,26,0.269,24,29,0.828,12,51,19,6,7,7,17
5362,BRK,53,2017-02-08,Home,WAS,L,110,114,38,91,0.418,9,33,0.273,25,36,0.694,15,55,20,6,5,16,24,40,97,0.412,9,25,0.36,25,33,0.758,17,54,21,9,5,12,26
5462,BRK,54,2017-02-10,Home,MIA,L,99,108,35,81,0.432,8,20,0.4,21,28,0.75,15,48,19,4,6,22,18,41,92,0.446,7,23,0.304,19,21,0.905,13,46,16,11,7,14,21
5562,BRK,55,2017-02-13,Home,MEM,L,103,112,38,82,0.463,12,37,0.324,15,18,0.833,6,32,23,8,0,12,24,39,77,0.506,9,22,0.409,25,27,0.926,5,41,25,7,1,12,16
5662,BRK,56,2017-02-15,Home,MIL,L,125,129,46,88,0.523,14,36,0.389,19,23,0.826,9,42,30,7,8,17,21,50,88,0.568,7,15,0.467,22,32,0.688,7,39,27,16,3,10,19
5762,BRK,57,2017-02-24,Away,DEN,L,109,129,41,83,0.494,10,30,0.333,17,31,0.548,7,42,27,7,4,19,23,49,97,0.505,14,31,0.452,17,24,0.708,11,51,32,11,2,13,24
5862,BRK,58,2017-02-25,Away,GSW,L,95,112,38,94,0.404,8,28,0.286,11,17,0.647,11,52,25,8,3,16,20,42,100,0.42,11,31,0.355,17,22,0.773,13,52,30,10,11,11,17
