,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
8192,BOS,8,2017-11-01,Home,SAC,W,113,86,40,82,0.488,17,41,0.415,16,19,0.842,16,52,30,10,3,16,19,35,81,0.432,6,20,0.3,10,12,0.833,7,26,24,10,5,15,18
991,BOS,9,2017-11-03,Away,OKC,W,101,94,36,84,0.429,13,28,0.464,16,24,0.667,11,49,23,6,2,10,14,35,87,0.402,13,35,0.371,11,14,0.786,11,48,20,4,7,12,18
1091,BOS,10,2017-11-05,Away,ORL,W,104,88,39,89,0.438,11,33,0.333,15,20,0.75,9,54,26,10,1,13,21,33,91,0.363,6,29,0.207,16,18,0.889,10,45,18,4,4,13,19
11130,BOS,11,2017-11-06,Away,ATL,W,110,107,39,81,0.481,14,36,0.389,18,22,0.818,7,42,28,3,3,13,21,39,81,0.481,13,26,0.5,16,20,0.8,5,36,24,8,4,14,22
12107,BOS,12,2017-11-08,Home,LAL,W,107,96,38,98,0.388,7,29,0.241,24,31,0.774,16,48,20,8,6,13,20,37,85,0.435,5,24,0.208,17,23,0.739,12,48,16,8,8,20,30
1391,BOS,13,2017-11-10,Home,CHO,W,90,87,30,84,0.357,9,31,0.29,21,25,0.84,9,49,15,6,5,13,26,31,80,0.388,6,22,0.273,19,33,0.576,7,47,20,5,7,14,21
1491,BOS,14,2017-11-12,Home,TOR,W,95,94,35,87,0.402,10,26,0.385,15,19,0.789,15,46,24,9,2,14,18,32,69,0.464,10,24,0.417,20,23,0.87,6,36,18,8,8,17,20
1591,BOS,15,2017-11-14,Away,BRK,W,109,102,39,86,0.453,9,27,0.333,22,27,0.815,9,49,15,8,3,14,14,39,88,0.443,14,35,0.4,10,16,0.625,9,43,26,4,3,14,24
1691,BOS,16,2017-11-16,Home,GSW,W,92,88,26,79,0.329,7,32,0.219,33,38,0.868,7,52,15,8,5,15,15,33,82,0.402,10,32,0.313,12,19,0.632,7,47,22,9,10,15,24
1791,BOS,17,2017-11-18,Away,ATL,W,110,99,39,82,0.476,16,34,0.471,16,20,0.8,9,41,21,9,6,15,22,37,78,0.474,9,24,0.375,16,20,0.8,6,35,24,7,1,13,19
1891,BOS,18,2017-11-20,Away,DAL,W,110,102,38,84,0.452,13,36,0.361,21,26,0.808,5,53,24,8,4,17,24,39,96,0.406,7,33,0.212,17,20,0.85,8,45,18,7,3,11,22
1991,BOS,19,2017-11-22,Away,MIA,L,98,104,35,84,0.417,9,26,0.346,19,27,0.704,7,37,19,11,4,11,19,40,81,0.494,10,28,0.357,14,16,0.875,7,48,20,3,4,16,22
2091,BOS,20,2017-11-24,Home,ORL,W,118,103,42,91,0.462,17,42,0.405,17,25,0.68,13,46,27,6,10,8,20,41,95,0.432,9,24,0.375,12,19,0.632,16,51,21,6,4,12,16
21130,BOS,21,2017-11-25,Away,IND,W,108,98,45,80,0.563,10,25,0.4,8,9,0.889,4,30,22,8,4,14,13,38,78,0.487,7,23,0.304,15,15,1,10,36,20,9,2,18,14
22107,BOS,22,2017-11-27,Home,DET,L,108,118,40,77,0.519,16,33,0.485,12,21,0.571,5,36,27,2,4,17,23,44,85,0.518,11,25,0.44,19,23,0.826,8,40,26,8,2,8,19
2391,BOS,23,2017-11-30,Home,PHI,W,108,97,40,79,0.506,12,29,0.414,16,20,0.8,7,40,25,7,7,16,20,35,84,0.417,16,32,0.5,11,18,0.611,15,45,24,11,1,19,22
2491,BOS,24,2017-12-02,Home,PHO,W,116,111,42,80,0.525,14,31,0.452,18,23,0.783,4,31,32,8,6,9,16,48,101,0.475,7,24,0.292,8,11,0.727,16,47,24,8,1,10,19
2591,BOS,25,2017-12-04,Home,MIL,W,111,100,43,78,0.551,10,22,0.455,15,19,0.789,8,45,25,5,3,14,20,35,78,0.449,9,21,0.429,21,24,0.875,3,28,17,6,2,9,17
2691,BOS,26,2017-12-06,Home,DAL,W,97,90,36,87,0.414,12,34,0.353,13,17,0.765,9,53,25,8,8,11,15,34,86,0.395,9,28,0.321,13,17,0.765,6,45,19,7,5,9,12
2791,BOS,27,2017-12-08,Away,SAS,L,102,105,38,83,0.458,11,38,0.289,15,17,0.882,11,39,14,10,0,14,22,38,81,0.469,8,27,0.296,21,24,0.875,14,46,16,6,3,13,14
2891,BOS,28,2017-12-10,Away,DET,W,91,81,33,79,0.418,11,30,0.367,14,18,0.778,9,50,16,4,4,13,18,28,84,0.333,10,33,0.303,15,19,0.789,11,46,14,7,4,9,16
2991,BOS,29,2017-12-11,Away,CHI,L,85,108,33,83,0.398,10,40,0.25,9,14,0.643,11,46,22,2,2,15,19,39,81,0.481,12,29,0.414,18,25,0.72,10,46,23,9,3,8,18
3091,BOS,30,2017-12-13,Home,DEN,W,124,118,47,79,0.595,11,25,0.44,19,24,0.792,4,30,29,10,7,13,20,45,91,0.495,9,28,0.321,19,26,0.731,20,48,22,8,4,15,20
31130,BOS,31,2017-12-15,Home,UTA,L,95,107,35,86,0.407,9,31,0.29,16,19,0.842,2,31,20,10,5,8,18,40,83,0.482,13,25,0.52,14,18,0.778,9,55,19,6,2,15,20
32107,BOS,32,2017-12-16,Away,MEM,W,102,93,39,80,0.488,14,30,0.467,10,14,0.714,14,42,21,6,6,16,19,32,79,0.405,14,34,0.412,15,17,0.882,10,38,18,8,3,13,19
3391,BOS,33,2017-12-18,Away,IND,W,112,111,44,79,0.557,16,26,0.615,8,14,0.571,6,38,26,6,4,19,31,37,79,0.468,7,21,0.333,30,38,0.789,9,38,14,12,3,12,16
3491,BOS,34,2017-12-20,Home,MIA,L,89,90,30,80,0.375,13,32,0.406,16,21,0.762,5,44,18,5,5,10,22,33,75,0.44,10,28,0.357,14,25,0.56,6,46,23,6,3,12,16
3591,BOS,35,2017-12-21,Away,NYK,L,93,102,33,86,0.384,13,38,0.342,14,19,0.737,9,35,17,11,1,10,20,36,79,0.456,8,14,0.571,22,26,0.846,11,49,13,8,3,17,20
3691,BOS,36,2017-12-23,Home,CHI,W,117,92,44,92,0.478,12,32,0.375,17,21,0.81,8,46,29,9,5,5,18,34,86,0.395,7,19,0.368,17,25,0.68,12,51,24,4,2,15,16
3791,BOS,37,2017-12-25,Home,WAS,L,103,111,39,81,0.481,14,29,0.483,11,17,0.647,8,45,20,2,4,16,23,43,93,0.462,6,26,0.231,19,28,0.679,14,47,26,6,4,8,17
3891,BOS,38,2017-12-27,Away,CHO,W,102,91,37,78,0.474,15,34,0.441,13,13,1,6,43,20,4,7,15,20,32,87,0.368,7,23,0.304,20,29,0.69,19,52,15,7,3,11,11
3991,BOS,39,2017-12-28,Home,HOU,W,99,98,37,82,0.451,8,29,0.276,17,24,0.708,10,44,18,9,8,16,22,30,80,0.375,14,43,0.326,24,31,0.774,7,43,16,9,3,16,23
4091,BOS,40,2017-12-31,Home,BRK,W,108,105,39,79,0.494,14,33,0.424,16,25,0.64,8,50,21,7,8,17,22,39,95,0.411,11,36,0.306,16,19,0.842,11,45,25,5,4,9,19
41130,BOS,41,2018-01-03,Home,CLE,W,102,88,41,92,0.446,12,36,0.333,8,11,0.727,9,52,27,9,2,15,20,31,89,0.348,8,32,0.25,18,18,1,9,48,16,6,7,14,17
42107,BOS,42,2018-01-05,Home,MIN,W,91,84,38,94,0.404,6,36,0.167,9,13,0.692,17,56,24,6,4,10,22,28,76,0.368,7,23,0.304,21,28,0.75,9,43,15,6,5,12,15
4391,BOS,43,2018-01-06,Away,BRK,W,87,85,37,98,0.378,5,18,0.278,8,15,0.533,12,44,12,8,13,4,17,30,91,0.33,6,31,0.194,19,22,0.864,12,55,11,2,11,16,14
4491,BOS,44,2018-01-11,Away,PHI,W,114,103,43,89,0.483,13,35,0.371,15,19,0.789,11,46,24,11,2,18,18,38,82,0.463,11,28,0.393,16,18,0.889,3,37,20,12,4,19,19
4591,BOS,45,2018-01-16,Home,NOP,L,113,116,40,101,0.396,19,50,0.38,14,16,0.875,12,53,27,7,3,18,24,45,100,0.45,7,27,0.259,19,25,0.76,13,55,28,11,6,15,14
4691,BOS,46,2018-01-18,Home,PHI,L,80,89,30,74,0.405,7,29,0.241,13,17,0.765,3,31,13,7,5,19,20,34,73,0.466,6,17,0.353,15,17,0.882,8,41,18,10,5,22,20
4791,BOS,47,2018-01-21,Home,ORL,L,95,103,37,85,0.435,8,27,0.296,13,14,0.929,11,44,22,6,9,15,18,43,92,0.467,6,21,0.286,11,16,0.688,13,44,20,7,9,10,19
4891,BOS,48,2018-01-23,Away,LAL,L,107,108,42,90,0.467,15,44,0.341,8,10,0.8,7,42,22,3,5,11,25,40,91,0.44,7,26,0.269,21,36,0.583,14,51,18,6,2,10,16
4991,BOS,49,2018-01-24,Away,LAC,W,113,102,39,93,0.419,14,40,0.35,21,22,0.955,10,47,25,10,3,13,28,35,79,0.443,5,21,0.238,27,39,0.692,10,40,26,6,5,19,15
