Team,,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,OffRebounds,FreeThrows.,TotalRebounds,Assists,Steals,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
LAC,,107.2195122,103.4207317,39.36890244,83.57621951,0.47225,9.884146341,26.92987805,0.365621951,18.59756098,25.73780488,9.37195122,0.726603659,42.8902439,23.12195122,7.890243902,7.890243902,4.844512195,12.67682927,20.60670732,37.98780488,85.01219512,0.447637195,9.030487805,25.91158537,0.346234756,18.41463415,24.21036585,10.80487805,44.08841463,23.01829268,7.335365854,3.731707317,13.60060976,22.09146341
LAL,,102.1097561,108.3170732,38.09756098,86.54878049,0.440585366,8.301829268,24.56097561,0.335155488,17.61280488,23.55487805,11.0945122,0.747743902,44.18597561,20.90853659,7.554878049,7.554878049,4.301829268,13.875,20.85060976,40.4695122,86.17987805,0.470737805,9.396341463,26.375,0.354310976,17.98170732,23.99085366,10.37804878,44.97560976,24.48170732,7.951219512,5.307926829,13.03353659,19.39939024
MEM,,99.30487805,100.4847561,36.92987805,83.12195122,0.445606707,7.475609756,21.6097561,0.341484756,17.9695122,22.99695122,10.48170732,0.780646342,41.87195122,21.29573171,8.201219512,8.201219512,4.381097561,13.12804878,21.61585366,36.00914634,79.8597561,0.451948171,9.594512195,26.67378049,0.356634146,18.87195122,24.86585366,9.868902439,42.55792683,21.05182927,7.365853659,5.256097561,14.41768293,20.65853659
MIA,,100.3292683,100.1829268,37.86890244,82.50304878,0.460118902,8.429878049,23.95731707,0.346960366,16.16158537,21.94512195,9.722560976,0.738356707,42.58231707,21.1554878,7.326219512,7.326219512,5.515243902,13.34146341,19.71341463,37.23170732,82.9695122,0.450253049,8.216463415,23.39634146,0.350621951,17.50304878,22.83841463,9.990853659,42.23170732,20.53658537,7.408536585,4.487804878,13.25,19.63414634
MIL,,101.7469512,102.8079268,38.61890244,82.26829268,0.470570122,7.387195122,20.57012195,0.359365854,17.12195122,22.41463415,9.588414634,0.762765244,40.99390244,23.52439024,8.68597561,8.68597561,5.356707317,14.27743902,21.10060976,37.61890244,82.81707317,0.455637195,9.408536585,26.47256098,0.354902439,18.16158537,23.72256098,10.79878049,42.75304878,23.64939024,7.868902439,4.862804878,15.00304878,19.69512195
MIN,,103.8140244,106.6158537,38.66158537,83.75914634,0.462304878,6.463414634,18.71341463,0.341240854,20.02743902,25.27134146,10.84146341,0.792222561,41.71341463,22.82926829,8.131097561,8.131097561,4.317073171,13.44817073,19.53658537,40.22256098,84.3445122,0.478164634,9.573170732,26.31097561,0.365246951,16.59756098,21.67682927,10.4847561,41.91768293,23.31707317,7.567073171,5.094512195,14.29573171,21.07012195
NOP,,104.5335366,105.4817073,39.54573171,85.99390244,0.460676829,8.820121951,24.51829268,0.358807927,16.62195122,21.81097561,9.570121951,0.762216463,43.52439024,23.43902439,7.56097561,7.56097561,5.457317073,13.09756098,19.21646341,39.74085366,86.97560976,0.457966463,9.283536585,26.22256098,0.350728659,16.71646341,21.64329268,10.23780488,44.94207317,22.7652439,7.408536585,4.847560976,13.06097561,19.54878049
NYK,,99.76219512,104.5792683,38.05487805,85.55487805,0.445710366,7.765243902,22.29268293,0.349423781,15.88719512,20.17073171,10.85060976,0.787682927,43.49085366,21.72560976,6.631097561,6.631097561,5.256097561,13.45121951,20.5304878,38.52743902,84.96341463,0.454439024,9.277439024,25.82317073,0.358240854,18.24695122,23.86890244,10.91158537,43.89329268,22.06402439,7.722560976,4.457317073,12.34146341,18.625
OKC,,107.1554878,103.7469512,39.82926829,87.16463415,0.457527439,8.789634146,25.6554878,0.341121951,18.70731707,24.96036585,12.64939024,0.747344512,46.95426829,21.44817073,7.902439024,7.902439024,5.368902439,14.3902439,21.00304878,38.43292683,85.61890244,0.449771342,9.12195122,25.84146341,0.350792683,17.75914634,23.42682927,10.2804878,41.43597561,22.10670732,8.198170732,4.807926829,13.43902439,20.6554878
ORL,,100.5579268,105.2408537,38.53353659,85.63109756,0.450835366,8.338414634,24.26829268,0.343585366,15.15243902,20.25914634,9.737804878,0.751189024,42.48780488,22.45731707,7.68902439,7.68902439,4.655487805,13.67682927,20.05792683,39.39329268,84.84146341,0.46535061,9.228658537,25.35365854,0.361088415,17.22560976,22.71341463,10.13414634,44.78353659,23.6402439,7.670731707,5.213414634,13.59756098,18.45426829
PHI,,100.4085366,105.5091463,37.1097561,84.61585366,0.439283537,9.719512195,28.36280488,0.339835366,16.4695122,22.79573171,10.53353659,0.725097561,43.59146341,23.22560976,8.667682927,8.667682927,5.554878049,16.08536585,21.84146341,38.60365854,85.42073171,0.453243902,8.701219512,24.77439024,0.351381098,19.60060976,25.61280488,10.8445122,45.24390244,22.87195122,8.81402439,5.43597561,14.64634146,19.84756098
PHO,,103.722561,109.3628049,38.57317073,86.75914634,0.44575,8.579268293,25.32317073,0.337618902,17.99695122,23.76219512,11.14939024,0.754679878,44.26829268,20.44817073,7.850609756,7.850609756,4.469512195,15.26829268,22.67987805,39.88719512,85.92987805,0.465466463,9.521341463,25.59756098,0.36989939,20.06707317,26.24390244,10.54573171,44.7347561,22.25304878,8.557926829,5.210365854,14.17682927,21.25304878
POR,,105.375,103.5914634,39.04573171,86.2195122,0.454036585,10.26829268,27.88719512,0.368115854,17.0152439,21.74695122,10.64634146,0.784719512,45.11585366,20.97256098,6.81097561,6.81097561,4.826219512,13.36890244,20.1554878,38.52134146,85.91158537,0.449685976,8.475609756,23.4054878,0.358814024,18.07317073,23.83841463,10.25,43.79573171,20.67682927,7.682926829,4.786585366,12.28353659,19.2652439
SAC,,102.3902439,106.652439,38.3445122,83.83231707,0.458466463,7.914634146,21.69512195,0.364359756,17.78658537,23.69817073,9.923780488,0.747606707,42.60060976,22.22256098,7.783536585,7.783536585,4.134146341,14.61585366,20.3597561,39.31402439,84.97256098,0.463875,10.45426829,28.64634146,0.362472561,17.57012195,23.0152439,10.35060976,43.20121951,23.71341463,8.426829268,5.347560976,13.76829268,20.81097561
SAS,,103.695122,96.96646341,39.39329268,83.88414634,0.470631098,8.219512195,22.16158537,0.371942073,16.68902439,21.17987805,9.896341463,0.791115854,43.91158537,23.87804878,7.978658537,7.978658537,5.710365854,12.89329268,18,36.99695122,83.29268293,0.444875,7.673780488,22.19512195,0.346170732,15.29878049,20.17987805,9.5,41.66463415,21.18597561,7.548780488,4.054878049,13.80487805,19.67378049
TOR,,106.3018293,101.4115854,38.74390244,84.10060976,0.461597561,9.533536585,26.44512195,0.359957317,19.2804878,24.45731707,10.32926829,0.788158537,43.05182927,20.57621951,7.786585366,7.786585366,5.201219512,12.2195122,20.77439024,37.52439024,83.3445122,0.451414634,8.765243902,24.5,0.356402439,17.59756098,23.23780488,10.18597561,41.92682927,22.02134146,6.817073171,5.024390244,13.57317073,20.63719512
UTA,,99.41768293,96.85365854,36.67378049,80.47865854,0.456768293,9.091463415,25.27439024,0.35957622,16.97865854,22.72865854,10.30182927,0.749426829,43.42073171,20.35670732,7.658536585,7.658536585,5.317073171,13.85060976,19.4847561,36.25,81.28963415,0.446786585,8.237804878,22.84756098,0.363106707,16.11585366,21.28963415,9.228658537,40.27743902,19.08841463,7.932926829,4.448170732,12.96341463,20.03353659
WAS,,104.6006098,103.9481707,39.75609756,85.29878049,0.467378049,8.463414634,23.07012195,0.366737805,16.625,21.96341463,9.972560976,0.758643293,43.12195122,24.375,8.070121951,8.070121951,4.237804878,13.93902439,21.05487805,38.36280488,84.17073171,0.456503049,9.265243902,25.87804878,0.355841463,17.95731707,23.78658537,9.960365854,42.88719512,21.89329268,7.81402439,4.469512195,14.50609756,19.88109756
Grand Total,,103.6523374,103.6523374,38.60243902,84.90243902,0.455689329,9.126829268,25.62367886,0.35432124,17.32063008,22.74939024,10.28760163,0.762394919,43.52063008,22.54654472,7.75050813,7.75050813,4.827642276,13.63861789,20.05853659,38.60243902,84.90243902,0.455689329,9.126829268,25.62367886,0.35432124,17.32063008,22.74939024,10.28760163,43.52063008,22.54654472,7.75050813,4.827642276,13.63861789,20.05853659
